//ATC综合数据中心雷达地图图层  GR3=航路(灰) 0线型 1线宽 点数 0航路宽度
//GR3  名称  线型  线宽  端点个数  航路宽度(公里)
GR3	CYVR-ZGSZ-1	0	1	2	0
GRR	26,17,38.00N	107,02,49.00E	
GRR	25,54,30.00N	107,28,08.00E	
GRR	25,42,55.00N	107,40,44.00E	
GRR	25,27,24.00N	107,57,43.00E	
GRR	24,32,19.00N	108,04,29.00E	
GRR	24,18,00.00N	108,06,12.00E	
GRR	23,49,15.00N	108,09,42.00E	
GRR	23,45,52.00N	109,08,44.00E	
GRR	23,40,06.00N	109,37,00.00E	
GRR	23,30,47.00N	110,21,45.00E	
GRR	23,26,24.00N	110,43,15.00E	
GRR	23,20,58.00N	111,08,55.00E	
GRR	23,17,35.00N	111,25,38.00E	
GRR	23,16,18.00N	111,31,40.00E	
GRR	23,12,30.00N	111,49,36.00E	
GRR	23,04,18.00N	112,29,07.00E	
GRR	23,01,14.00N	113,11,30.00E	
GRR	22,52,54.00N	113,29,00.00E	
GRR	22,38,21.42N	113,48,38.32E	
GR3	EBLG-ZGSZ	0	1	58	0
GRR	50,38,11.00N	5,26,34.00E	
GRR	42,02,00.00N	102,49,00.00E	
GRR	41,35,51.00N	102,59,26.00E	
GRR	41,21,18.00N	102,59,18.00E	
GRR	40,16,15.00N	102,59,34.00E	
GRR	39,28,21.00N	102,59,43.00E	
GRR	39,21,27.00N	102,59,44.00E	
GRR	38,23,20.00N	103,32,54.00E	
GRR	37,36,43.00N	103,58,48.00E	
GRR	37,15,17.00N	104,10,31.00E	
GRR	36,57,11.00N	104,14,26.00E	
GRR	36,28,56.00N	104,20,30.00E	
GRR	36,11,52.00N	104,20,47.00E	
GRR	35,49,54.00N	104,21,09.00E	
GRR	35,30,01.00N	104,21,28.00E	
GRR	33,36,12.00N	104,23,15.00E	
GRR	33,22,42.00N	104,32,56.00E	
GRR	32,45,45.00N	104,35,17.00E	
GRR	32,33,50.00N	104,35,49.00E	
GRR	32,24,24.00N	104,36,15.00E	
GRR	31,46,48.00N	104,38,18.00E	
GRR	31,02,53.00N	104,40,02.00E	
GRR	30,51,54.00N	104,41,16.00E	
GRR	30,33,51.00N	104,43,18.00E	
GRR	30,00,05.00N	104,47,03.00E	
GRR	29,20,03.00N	104,51,27.00E	
GRR	29,07,32.00N	104,57,46.00E	
GRR	28,56,58.00N	105,03,06.00E	
GRR	28,46,40.00N	105,08,15.00E	
GRR	28,03,09.00N	105,34,27.00E	
GRR	27,58,29.00N	105,35,11.00E	
GRR	27,47,55.00N	105,36,51.00E	
GRR	27,40,50.00N	105,41,10.00E	
GRR	27,24,51.00N	105,49,29.00E	
GRR	27,02,34.00N	106,01,45.00E	
GRR	26,44,38.00N	106,28,13.00E	
GRR	26,35,21.00N	106,41,47.00E	
GRR	26,31,19.00N	106,47,39.00E	
GRR	26,27,10.00N	106,52,14.00E	
GRR	26,17,38.00N	107,02,49.00E	
GRR	25,54,30.00N	107,28,08.00E	
GRR	25,42,55.00N	107,40,44.00E	
GRR	25,27,24.00N	107,57,43.00E	
GRR	24,32,19.00N	108,04,29.00E	
GRR	24,18,00.00N	108,06,12.00E	
GRR	23,49,15.00N	108,09,42.00E	
GRR	23,45,52.00N	109,08,44.00E	
GRR	23,40,06.00N	109,37,00.00E	
GRR	23,30,47.00N	110,21,45.00E	
GRR	23,26,24.00N	110,43,15.00E	
GRR	23,20,58.00N	111,08,55.00E	
GRR	23,17,35.00N	111,25,38.00E	
GRR	23,16,18.00N	111,31,40.00E	
GRR	23,12,30.00N	111,49,36.00E	
GRR	23,04,18.00N	112,29,07.00E	
GRR	23,01,14.00N	113,11,30.00E	
GRR	22,52,54.00N	113,29,00.00E	
GRR	22,38,21.42N	113,48,38.32E	
GR3	EDDF-ZGSZ	0	1	78	0
GRR	50,02,00.00N	8,34,14.00E	
GRR	46,51,54.00N	82,53,18.00E	
GRR	46,39,36.00N	83,22,11.00E	
GRR	46,15,52.00N	84,08,45.00E	
GRR	45,41,53.00N	85,13,15.00E	
GRR	45,07,30.00N	86,17,00.00E	
GRR	44,50,00.00N	86,48,00.00E	
GRR	44,43,20.00N	86,59,34.00E	
GRR	44,33,07.00N	87,17,13.00E	
GRR	44,20,03.00N	87,41,05.00E	
GRR	44,10,16.00N	87,58,54.00E	
GRR	43,33,28.00N	89,23,35.00E	
GRR	43,12,55.00N	90,10,16.00E	
GRR	42,53,21.00N	90,53,37.00E	
GRR	42,13,49.00N	91,44,45.00E	
GRR	42,06,01.00N	91,46,09.00E	
GRR	41,37,45.00N	91,51,08.00E	
GRR	40,45,56.00N	93,37,58.00E	
GRR	40,06,09.00N	94,41,33.00E	
GRR	39,57,24.00N	95,04,48.00E	
GRR	39,50,41.00N	95,22,30.00E	
GRR	39,33,49.00N	96,06,13.00E	
GRR	39,16,08.00N	96,50,39.00E	
GRR	38,56,21.00N	97,40,09.00E	
GRR	38,10,39.00N	99,27,53.00E	
GRR	37,39,25.00N	100,40,48.00E	
GRR	37,17,52.00N	101,31,30.00E	
GRR	37,10,47.00N	102,02,19.00E	
GRR	37,06,54.00N	102,18,56.00E	
GRR	36,48,58.00N	102,54,43.00E	
GRR	36,32,25.00N	103,37,09.00E	
GRR	36,20,04.00N	104,03,29.00E	
GRR	36,11,52.00N	104,20,47.00E	
GRR	35,49,54.00N	104,21,09.00E	
GRR	35,30,01.00N	104,21,28.00E	
GRR	33,36,12.00N	104,23,15.00E	
GRR	33,22,42.00N	104,32,56.00E	
GRR	32,45,45.00N	104,35,17.00E	
GRR	32,33,50.00N	104,35,49.00E	
GRR	32,24,24.00N	104,36,15.00E	
GRR	31,46,48.00N	104,38,18.00E	
GRR	31,02,53.00N	104,40,02.00E	
GRR	30,51,54.00N	104,41,16.00E	
GRR	30,33,51.00N	104,43,18.00E	
GRR	30,00,05.00N	104,47,03.00E	
GRR	29,20,03.00N	104,51,27.00E	
GRR	29,07,32.00N	104,57,46.00E	
GRR	28,56,58.00N	105,03,06.00E	
GRR	28,46,40.00N	105,08,15.00E	
GRR	28,03,09.00N	105,34,27.00E	
GRR	27,58,29.00N	105,35,11.00E	
GRR	27,47,55.00N	105,36,51.00E	
GRR	27,40,50.00N	105,41,10.00E	
GRR	27,24,51.00N	105,49,29.00E	
GRR	27,02,34.00N	106,01,45.00E	
GRR	26,44,38.00N	106,28,13.00E	
GRR	26,35,21.00N	106,41,47.00E	
GRR	26,31,19.00N	106,47,39.00E	
GRR	26,27,10.00N	106,52,14.00E	
GRR	26,17,38.00N	107,02,49.00E	
GRR	25,54,30.00N	107,28,08.00E	
GRR	25,42,55.00N	107,40,44.00E	
GRR	25,27,24.00N	107,57,43.00E	
GRR	24,32,19.00N	108,04,29.00E	
GRR	24,18,00.00N	108,06,12.00E	
