//ATC综合数据中心雷达地图  GR3=航路(灰) 0线型 1线宽 点数 0航路宽度
//GR3  名称  线型  线宽  端点个数  航路宽度(公里)  GRR 纬度 经度 点名称
GR3	ZBCZ-ZGSZ	0	1	44	0
GRR	36,14,56.08N	113,07,34.52E	ZBCZ
GRR	36,14,18.00N	113,07,04.00E	SQ
GRR	35,50,45.00N	113,17,36.00E	PADNO
GRR	35,36,43.00N	113,23,52.00E	TAMIX
GRR	35,26,45.00N	113,28,17.00E	NOPIN
GRR	34,51,46.00N	113,43,46.00E	ISNAG
GRR	34,31,01.00N	113,50,30.00E	CGO
GRR	33,49,20.00N	114,03,38.00E	P295
GRR	33,21,57.00N	114,12,12.00E	KAMDA
GRR	33,17,14.00N	114,27,15.00E	IGMIG
GRR	33,12,21.00N	114,42,56.00E	DUDBI
GRR	32,53,04.00N	114,41,02.00E	ATMEM
GRR	32,39,35.00N	114,39,46.00E	P123
GRR	32,22,59.00N	114,38,12.00E	ENLAB
GRR	32,07,50.00N	114,36,44.00E	P281
GRR	31,38,54.00N	114,33,56.00E	PONUD
GRR	31,17,46.00N	114,31,55.00E	NODIM
GRR	31,14,40.00N	114,31,37.00E	AVLEN
GRR	30,55,25.00N	114,21,05.00E	HG
GRR	30,48,38.00N	114,17,24.00E	DUBAS
GRR	30,35,28.00N	114,10,15.00E	OSIRU
GRR	30,32,51.00N	114,08,50.00E	UDUMI
GRR	30,14,42.00N	113,59,03.00E	IGNIK
GRR	29,59,26.00N	113,50,53.00E	P412
GRR	29,52,17.00N	113,47,05.00E	OLMIB
GRR	29,14,07.00N	113,44,26.00E	GUSIV
GRR	28,44,16.00N	113,45,18.00E	PEXID
GRR	28,19,30.00N	113,43,29.00E	IGNEG
GRR	28,13,44.00N	113,43,04.00E	OLTOL
GRR	28,07,36.00N	113,42,37.00E	VIKEB
GRR	28,02,29.00N	113,42,10.00E	VAKDO
GRR	27,38,34.00N	113,40,02.00E	APESO
GRR	27,10,46.00N	113,39,25.00E	OMBEB
GRR	26,44,32.00N	113,47,09.00E	IDAXI
GRR	26,30,00.00N	113,51,42.00E	OPUNI
GRR	26,01,04.00N	114,00,03.00E	BEMAG
GRR	25,05,45.00N	114,16,20.00E	NNX
GRR	24,20,55.00N	114,06,47.00E	WYN
GRR	24,16,51.00N	114,03,58.00E	SALIV
GRR	24,06,30.00N	113,56,47.00E	NOLON
GRR	23,32,06.00N	113,23,06.00E	TEPID
GRR	23,01,14.00N	113,11,30.00E	POU
GRR	22,52,54.00N	113,29,00.00E	SAREX
GRR	22,38,21.42N	113,48,38.32E	ZGSZ
GR3	ZBDS-ZGSZ	0	1	55	0
GRR	39,29,29.71N	109,51,49.71E	ZBDS
